,place_name,place_types,presence_likelihood,datetime,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_4_hours,type_1_day,type_7_days
11330,Oryx Prive Investment LLC,"FINANCE,POINT_OF_INTEREST,ESTABLISHMENT,",0.3569698333740234,2010-07-21 07:00:00,FINANCE,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,LODGING,MUSEUM,STORE
11329,Hayley Denton,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1704757690429687,2010-07-21 01:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,LODGING,MUSEUM,STORE
11328,SHAEF,"PARK,POINT_OF_INTEREST,ESTABLISHMENT,",0.4163013458251953,2010-07-21 00:40:00,PARK,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,LODGING,MUSEUM,STORE
11327,Richmond Trees and Landscape Ltd,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.2296122932434082,2010-07-21 00:20:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,LODGING,MUSEUM,STORE
11326,PJA Marketing & Communications,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1097336483001709,2010-07-21 00:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,LODGING,MUSEUM,STORE
11325,USAAF Memorial,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1864333915710449,2010-07-20 23:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,SUPERMARKET,MUSEUM,STORE
11324,NPL Sports Club,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1305186653137207,2010-07-20 23:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,SUPERMARKET,MUSEUM,STORE
11323,Park Lane Stables,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1493450450897217,2010-07-20 23:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,SUPERMARKET,MUSEUM,STORE
11322,Teddington Cricket Club,"POINT_OF_INTEREST,ESTABLISHMENT,",0.264761905670166,2010-07-20 22:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,LODGING,MUSEUM,STORE
11321,Teddington Cricket Club,"POINT_OF_INTEREST,ESTABLISHMENT,",0.264761905670166,2010-07-20 22:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,PARK,MUSEUM,STORE
11320,Teddington Cricket Club,"POINT_OF_INTEREST,ESTABLISHMENT,",0.264761905670166,2010-07-20 22:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BAR,MUSEUM,STORE
11319,Teddington Cricket Club,"POINT_OF_INTEREST,ESTABLISHMENT,",0.264761905670166,2010-07-20 21:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BAR,MUSEUM,STORE
11318,Teddington Cricket Club,"POINT_OF_INTEREST,ESTABLISHMENT,",0.264761905670166,2010-07-20 21:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BAR,MUSEUM,STORE
11317,Teddington Memorial Hospital,"HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.1135608577728272,2010-07-20 21:00:00,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,BAR,MUSEUM,STORE
